arrivalDate,cancellationReason,city,class,contractor,country,countryState,customer,customerDeadlineDate,customerName,deadlineDate,defect,installedTerminalModel,installedTerminalSak,installedTerminalSerialNumber,installedTerminalType,kitName,kitQuantity,lastModifiedDate,logisticOperator,neighborhood,openingDate,orderNumber,project,provider,serviceGroup,serviceType,solution,status,technicianName,totalVisits,uninstalledTerminalModel,uninstalledTerminalSak,uninstalledTerminalSerialNumber,uninstalledTerminalType,visitReason1,visitReason2,date_check,ccid_out
2019-06-25T00:00:00,(Caça) Coleta agendada,RIO DE JANEIRO,VJ-14,STONE PAGAMENTOS,BRASIL,RJ,149483510,2019-04-28T18:00:00,Villa Inn,2019-04-28T18:00:00,,,,,,,0,2019-06-25T16:37:29,VEJA7,Vila Isabel,2019-01-29T19:31:05,2031117,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,608041,6C233100,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,(Caça) Coleta agendada,RIO DE JANEIRO,VJ-16,STONE PAGAMENTOS,BRASIL,RJ,145055683,2019-05-11T18:00:00,ABOLISOM,2019-05-11T18:00:00,,,,,,,0,2019-06-25T16:07:25,VEJA7,Pilares,2019-02-12T15:03:24,2096074,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,522453,6C198793,GPRS-WIFI,,,2019-06-26,89550534180025092407
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-0.3,STONE PAGAMENTOS,BRASIL,RJ,186332202,2019-05-14T18:00:00,Boate Casa Nova,2019-05-14T18:00:00,,,,,,,0,2019-06-25T16:39:20,VEJA7,Lapa,2019-02-13T18:38:48,2109397,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,647890,6C216814,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,(Caça) Tentativa de contato via telefone,INDAIATUBA,VJ-17,STONE PAGAMENTOS,BRASIL,SP,861163009,2019-05-19T18:00:00,DK BUREAU,2019-05-19T18:00:00,,,,,,,0,2019-06-25T10:53:47,VEJA7,CIDADE NOVA I,2019-02-19T15:19:23,2141379,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,774630,6C201388,GPRS-WIFI,,,2019-06-26,89551022142000373787
2019-06-25T00:00:00,,RIO DE JANEIRO,,STONE PAGAMENTOS,BRASIL,RJ,147666116,2019-04-22T18:00:00,VITOR F,2019-08-27T18:00:00,,,,,,,0,2019-06-25T12:13:14,VEJA7,MARECHAL HERMES,2019-02-14T09:10:16,2111369,,VEJA7 - BASE,DESINSTALAÇÃO,DESCREDENCIAMENTO,,BAIXADA,VEJA7,1,S920,1174503,6C576396,GPRS-WIFI,(Caça) Cliente deseja reativar,,2019-06-26,89551080137011137006
2019-06-25T00:00:00,(Caça) Tentativa de contato via telefone,FORTALEZA,VJ-23,STONE PAGAMENTOS,BRASIL,CE,203356749,2019-06-05T18:00:00,Portela Repre,2019-06-05T18:00:00,,,,,,,0,2019-06-25T11:46:45,VEJA7,MARAPONGA,2019-04-02T16:37:32,2304148,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,1102079,51318025,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,(Caça) Tentativa de contato via telefone,FORTALEZA,S19,STONE PAGAMENTOS,BRASIL,CE,212531865,2019-07-11T18:00:00,LAB LINUS PAULING,2019-07-11T18:00:00,,,,,,,0,2019-06-25T11:37:28,VEJA7,MESSEJANA,2019-05-09T11:44:21,2444985,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,VX 685 GPRS,498499,523-975-237,GPRS,,,2019-06-26,
2019-06-25T00:00:00,(Caça) Tentativa de contato via telefone,FORTALEZA,S19,STONE PAGAMENTOS,BRASIL,CE,212531865,2019-07-11T18:00:00,LAB LINUS PAULING,2019-07-11T18:00:00,,,,,,,0,2019-06-25T11:41:00,VEJA7,MESSEJANA,2019-05-09T11:44:38,2445002,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,VX 685 GPRS,498500,523-996-097,GPRS,,,2019-06-26,
2019-06-25T15:50:00,(Caça) Tentativa de contato via telefone,SAO PAULO,,STONE PAGAMENTOS,BRASIL,SP,763776317,2019-08-22T18:00:00,Esmari MODAS,2019-08-22T18:00:00,,,,,,,0,2019-06-25T16:03:02,VEJA7,Jardim Peri,2019-06-17T20:53:00,2623319,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-VEJA7,0,S920,357269,68852565,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,,RIO DE JANEIRO,S21,STONE PAGAMENTOS,BRASIL,RJ,135232993,2019-07-29T18:00:00,Bella Kasa,2019-07-29T18:00:00,,,,,,,0,2019-06-25T16:28:21,VEJA7,CENTRO,2019-05-25T02:23:08,2518688,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,598722,51654941,GPRS-WIFI,,,2019-06-26,89550534180026540859
