ccid,customer,date_check,logistic_status,provider,serviceGroup,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber
89550534150016335552,184739155,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2282741.0,6C853325
89550312000146952370,164116653,2019-06-12,GOOD,SC - JOINVILLE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580379.0,5C210322
89551025142004393192,737984355,2019-06-12,GOOD,SC - SAO JOSE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580477.0,6C174486
89550531190028707607,281795184,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2287744.0,6G286612
89551022242001876893,148245541,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2307817.0,6C606661
89550222000014225163,142737891,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2563867.0,51318734
89550312000127263912,911822399,2019-06-12,GOOD,RJ - BUNKER 1 STONE PAGAMENTOS,DESINSTALAÇÃO,,2580535.0,5C203170
89551022342000234555,156618822,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2304139.0,51317251
89551001426001064023,127749135,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2564413.0,68855858
89550532180053012477,899463507,2019-06-12,GOOD,RS - PORTO ALEGRE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580677.0,68841720
89551022242002545281,199380063,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2304776.0,51611791
89555405100005335951,418687073,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2304809.0,51614236
89551022342001473970,172138242,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2305234.0,51766350
89550531150007219859,175949486,2019-06-12,GOOD,RN - NATAL STONE PAGAMENTOS,DESINSTALAÇÃO,,2580800.0,68853827
89551022342000028528,797120631,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2306115.0,68881623
89555405100004978827,211161956,2019-06-12,GOOD,MG - BELO HORIZONTE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580846.0,51499722
89550532110021647237,293343183,2019-06-12,GOOD,DF - BRASILIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2580844.0,6C847160
89551080137011152526,112843129,2019-06-12,GOOD,SP - SANTO AMARO STONE PAGAMENTOS,DESINSTALAÇÃO,,2580878.0,6G297835
89550532180039700641,135111272,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2367201.0,51495388
89551025142010568522,179582694,2019-06-12,GOOD,GO - GOIANIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2580898.0,6C850539
89551017142001291225,189954906,2019-06-12,GOOD,SP - ZONA NORTE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580901.0,6C934002
89551022342001464896,176351848,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2367743.0,68886782
89550532120024276363,189254704,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2367928.0,6C190733
89550534150009135076,167263801,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2564592.0,51663045
89551025142001105409,172536218,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2368380.0,6C856752
89551080137011175337,187510033,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2368582.0,6C943740
89550312000122206171,694511479,2019-06-12,GOOD,SC - FLORIANOPOLIS STONE PAGAMENTOS,DESINSTALAÇÃO,,2581014.0,51670206
89550534180025063572,694511479,2019-06-12,GOOD,SC - FLORIANOPOLIS STONE PAGAMENTOS,DESINSTALAÇÃO,,2581015.0,6C832798
